sale_id,order_id,product_id,quantity,unit_price
SALE00001,ORD00099,PROD0032,4,127.28
SALE00002,ORD00193,PROD0037,5,122.16
SALE00003,ORD00150,PROD0049,1,142.04
SALE00004,ORD00107,PROD0024,2,138.87
SALE00005,ORD00019,PROD0009,2,119.66
SALE00006,ORD00164,PROD0025,1,50.65
SALE00007,ORD00012,PROD0049,4,148.12
SALE00008,ORD00039,PROD0031,4,120.57
SALE00009,ORD00135,PROD0023,5,101.66
SALE00010,ORD00014,PROD0032,3,126.38
SALE00011,ORD00064,PROD0032,3,125.48
SALE00012,ORD00059,PROD0043,4,142.09
SALE00013,ORD00126,PROD0029,5,79.93
SALE00014,ORD00106,PROD0042,3,63.69
SALE00015,ORD00004,PROD0050,5,122.81
SALE00016,ORD00103,PROD0036,3,89.39
SALE00017,ORD00119,PROD0009,2,106.88
SALE00018,ORD00069,PROD0002,4,46.34
SALE00019,ORD00192,PROD0035,4,44.06
SALE00020,ORD00127,PROD0020,2,60.12
SALE00021,ORD00004,PROD0010,5,98.02
SALE00022,ORD00072,PROD0024,5,126.28
SALE00023,ORD00071,PROD0027,2,75.03
SALE00024,ORD00144,PROD0026,2,54.79
SALE00025,ORD00038,PROD0035,3,46.37
SALE00026,ORD00160,PROD0021,5,86.11
SALE00027,ORD00065,PROD0044,2,28.3
SALE00028,ORD00100,PROD0043,3,143.62
SALE00029,ORD00094,PROD0026,5,58.53
SALE00030,ORD00139,PROD0038,4,78.82
SALE00031,ORD00122,PROD0030,5,50.4
SALE00032,ORD00111,PROD0043,2,150.22
SALE00033,ORD00047,PROD0017,5,73.51
SALE00034,ORD00016,PROD0015,1,52.02
SALE00035,ORD00191,PROD0036,3,82.24
SALE00036,ORD00046,PROD0020,5,60.34
SALE00037,ORD00145,PROD0007,5,86.21
SALE00038,ORD00006,PROD0046,1,47.75
SALE00039,ORD00012,PROD0041,3,43.9
SALE00040,ORD00113,PROD0004,1,67.74
SALE00041,ORD00080,PROD0046,4,48.35
SALE00042,ORD00152,PROD0030,1,54.55
SALE00043,ORD00137,PROD0050,1,137.41
SALE00044,ORD00145,PROD0015,5,59.3
SALE00045,ORD00042,PROD0036,4,95.28
SALE00046,ORD00053,PROD0033,1,28.7
SALE00047,ORD00168,PROD0043,5,157.6
SALE00048,ORD00158,PROD0034,3,116.15
SALE00049,ORD00118,PROD0049,2,138.86
SALE00050,ORD00054,PROD0047,1,126.45
SALE00051,ORD00174,PROD0003,3,87.97
SALE00052,ORD00053,PROD0021,3,86.74
SALE00053,ORD00043,PROD0029,1,71.77
SALE00054,ORD00094,PROD0018,5,26.2
SALE00055,ORD00037,PROD0031,3,119.17
SALE00056,ORD00157,PROD0024,1,132.99
SALE00057,ORD00152,PROD0044,4,28.96
SALE00058,ORD00013,PROD0022,1,51.48
SALE00059,ORD00030,PROD0047,2,129.31
SALE00060,ORD00071,PROD0018,1,25.86
SALE00061,ORD00012,PROD0046,4,56.93
SALE00062,ORD00051,PROD0049,2,137.52
SALE00063,ORD00158,PROD0008,4,82.39
SALE00064,ORD00166,PROD0021,4,77.7
SALE00065,ORD00090,PROD0006,2,48.11
SALE00066,ORD00047,PROD0024,5,139.52
SALE00067,ORD00171,PROD0029,2,74.49
SALE00068,ORD00059,PROD0048,4,146.6
SALE00069,ORD00117,PROD0017,1,62.37
SALE00070,ORD00051,PROD0006,3,48.1
SALE00071,ORD00153,PROD0035,3,42.67
SALE00072,ORD00159,PROD0009,3,123.65
SALE00073,ORD00087,PROD0019,4,105.9
SALE00074,ORD00083,PROD0046,4,50.19
SALE00075,ORD00001,PROD0028,1,49.68
SALE00076,ORD00180,PROD0039,2,54.19
SALE00077,ORD00194,PROD0015,4,53.34
SALE00078,ORD00052,PROD0043,2,137.35
SALE00079,ORD00103,PROD0009,1,117.8
SALE00080,ORD00165,PROD0035,3,49.18
SALE00081,ORD00045,PROD0002,1,48.26
SALE00082,ORD00098,PROD0014,5,142.3
SALE00083,ORD00033,PROD0041,1,50.48
SALE00084,ORD00135,PROD0018,5,25.91
SALE00085,ORD00120,PROD0044,3,29.98
SALE00086,ORD00131,PROD0004,2,67.42
SALE00087,ORD00005,PROD0026,1,59.27
SALE00088,ORD00004,PROD0028,5,53.03
SALE00089,ORD00019,PROD0014,2,128.37
SALE00090,ORD00103,PROD0002,5,47.22
SALE00091,ORD00008,PROD0022,3,50.67
SALE00092,ORD00118,PROD0021,3,85.97
SALE00093,ORD00046,PROD0047,4,130.12
SALE00094,ORD00136,PROD0009,4,123.39
SALE00095,ORD00102,PROD0004,5,67.76
SALE00096,ORD00154,PROD0040,5,118.76
SALE00097,ORD00091,PROD0040,2,115.07
SALE00098,ORD00126,PROD0044,2,28.03
SALE00099,ORD00148,PROD0023,1,94.56
SALE00100,ORD00005,PROD0021,1,90.14
SALE00101,ORD00175,PROD0010,2,104.38
SALE00102,ORD00121,PROD0044,5,26.02
SALE00103,ORD00045,PROD0031,5,107.96
SALE00104,ORD00154,PROD0044,3,29.72
SALE00105,ORD00021,PROD0007,4,82.38
SALE00106,ORD00171,PROD0007,2,82.52
SALE00107,ORD00059,PROD0015,3,54.44
SALE00108,ORD00090,PROD0026,3,61.75
SALE00109,ORD00026,PROD0009,3,121.04
SALE00110,ORD00130,PROD0029,5,74.51
SALE00111,ORD00004,PROD0009,5,109.85
SALE00112,ORD00011,PROD0018,1,21.69
SALE00113,ORD00165,PROD0045,3,105.04
SALE00114,ORD00117,PROD0015,2,51.51
SALE00115,ORD00167,PROD0021,4,84.57
SALE00116,ORD00194,PROD0030,5,58.35
SALE00117,ORD00167,PROD0029,5,72.33
SALE00118,ORD00183,PROD0029,1,77.25
SALE00119,ORD00040,PROD0033,3,28.55
SALE00120,ORD00073,PROD0010,1,96.3
SALE00121,ORD00123,PROD0037,3,115.29
SALE00122,ORD00172,PROD0040,1,125.57
SALE00123,ORD00068,PROD0005,3,71.17
SALE00124,ORD00181,PROD0034,3,125.31
SALE00125,ORD00010,PROD0035,2,51.47
SALE00126,ORD00166,PROD0030,3,57.23
SALE00127,ORD00012,PROD0030,3,57.22
SALE00128,ORD00085,PROD0020,4,54.08
SALE00129,ORD00061,PROD0030,2,50.95
SALE00130,ORD00109,PROD0040,2,124.39
SALE00131,ORD00023,PROD0002,2,49.11
SALE00132,ORD00088,PROD0009,1,124.93
SALE00133,ORD00182,PROD0009,1,117.74
SALE00134,ORD00056,PROD0026,4,61.86
SALE00135,ORD00177,PROD0023,1,101.18
SALE00136,ORD00020,PROD0046,5,50.7
SALE00137,ORD00128,PROD0025,1,53.39
SALE00138,ORD00032,PROD0033,2,29.65
SALE00139,ORD00181,PROD0029,5,77.21
SALE00140,ORD00147,PROD0045,3,95.49
SALE00141,ORD00014,PROD0010,2,93.77
SALE00142,ORD00003,PROD0047,1,148.18
SALE00143,ORD00017,PROD0048,2,157.75
SALE00144,ORD00157,PROD0041,1,47.92
SALE00145,ORD00181,PROD0045,3,88.74
