maintenance_id,node_id,technician_id,maintenance_type,date_performed
MAINT00001,NODE0063,TECH0175,Inspection,2023-12-02 00:00:00
MAINT00002,NODE0169,TECH0119,Repair,2023-12-13 00:00:00
MAINT00003,NODE0102,TECH0169,Upgrade,2023-10-05 00:00:00
MAINT00004,NODE0022,TECH0003,Calibration,2023-10-25 00:00:00
MAINT00005,NODE0112,TECH0039,Inspection,2023-10-27 00:00:00
MAINT00006,NODE0193,TECH0192,Repair,2024-02-14 00:00:00
MAINT00007,NODE0134,TECH0014,Upgrade,2024-03-21 00:00:00
MAINT00008,NODE0077,TECH0101,Calibration,2024-01-27 00:00:00
MAINT00009,NODE0106,TECH0019,Inspection,2024-03-07 00:00:00
MAINT00010,NODE0080,TECH0097,Repair,2024-03-01 00:00:00
MAINT00011,NODE0165,TECH0145,Upgrade,2023-12-31 00:00:00
MAINT00012,NODE0055,TECH0185,Calibration,2023-11-21 00:00:00
MAINT00013,NODE0089,TECH0114,Inspection,2023-11-04 00:00:00
MAINT00014,NODE0125,TECH0036,Repair,2023-11-26 00:00:00
MAINT00015,NODE0053,TECH0145,Upgrade,2024-03-10 00:00:00
MAINT00016,NODE0007,TECH0171,Calibration,2023-11-30 00:00:00
MAINT00017,NODE0056,TECH0073,Inspection,2024-01-12 00:00:00
MAINT00018,NODE0031,TECH0057,Repair,2024-03-16 00:00:00
MAINT00019,NODE0163,TECH0177,Upgrade,2024-03-31 00:00:00
MAINT00020,NODE0154,TECH0114,Calibration,2024-03-09 00:00:00
MAINT00021,NODE0008,TECH0193,Inspection,2024-03-22 00:00:00
MAINT00022,NODE0106,TECH0195,Repair,2023-11-21 00:00:00
MAINT00023,NODE0119,TECH0008,Upgrade,2023-10-25 00:00:00
MAINT00024,NODE0033,TECH0176,Calibration,2024-03-16 00:00:00
MAINT00025,NODE0076,TECH0177,Inspection,2024-02-09 00:00:00
MAINT00026,NODE0104,TECH0123,Repair,2023-12-04 00:00:00
MAINT00027,NODE0143,TECH0198,Upgrade,2023-12-15 00:00:00
MAINT00028,NODE0085,TECH0183,Calibration,2024-01-29 00:00:00
MAINT00029,NODE0194,TECH0067,Inspection,2024-03-24 00:00:00
MAINT00030,NODE0103,TECH0045,Repair,2024-03-20 00:00:00
MAINT00031,NODE0168,TECH0181,Upgrade,2023-10-30 00:00:00
MAINT00032,NODE0071,TECH0041,Calibration,2023-12-24 00:00:00
MAINT00033,NODE0048,TECH0184,Inspection,2023-12-06 00:00:00
MAINT00034,NODE0101,TECH0189,Repair,2024-03-21 00:00:00
MAINT00035,NODE0057,TECH0125,Upgrade,2023-11-28 00:00:00
MAINT00036,NODE0101,TECH0079,Calibration,2023-12-20 00:00:00
MAINT00037,NODE0035,TECH0057,Inspection,2024-01-13 00:00:00
MAINT00038,NODE0054,TECH0144,Repair,2024-02-28 00:00:00
MAINT00039,NODE0006,TECH0119,Upgrade,2024-03-16 00:00:00
MAINT00040,NODE0125,TECH0017,Calibration,2024-02-17 00:00:00
MAINT00041,NODE0162,TECH0132,Inspection,2024-03-06 00:00:00
MAINT00042,NODE0031,TECH0060,Repair,2023-11-09 00:00:00
MAINT00043,NODE0164,TECH0127,Upgrade,2024-03-26 00:00:00
MAINT00044,NODE0065,TECH0199,Calibration,2024-03-19 00:00:00
MAINT00045,NODE0110,TECH0161,Inspection,2024-01-01 00:00:00
MAINT00046,NODE0055,TECH0195,Repair,2023-12-18 00:00:00
MAINT00047,NODE0150,TECH0066,Upgrade,2024-03-04 00:00:00
MAINT00048,NODE0017,TECH0162,Calibration,2024-02-24 00:00:00
MAINT00049,NODE0174,TECH0111,Inspection,2024-02-29 00:00:00
MAINT00050,NODE0044,TECH0076,Repair,2023-11-26 00:00:00
MAINT00051,NODE0159,TECH0042,Upgrade,2024-02-17 00:00:00
MAINT00052,NODE0198,TECH0188,Calibration,2024-01-24 00:00:00
MAINT00053,NODE0195,TECH0124,Inspection,2023-12-16 00:00:00
MAINT00054,NODE0193,TECH0026,Repair,2023-11-27 00:00:00
MAINT00055,NODE0028,TECH0180,Upgrade,2024-02-22 00:00:00
MAINT00056,NODE0043,TECH0013,Calibration,2024-02-14 00:00:00
MAINT00057,NODE0079,TECH0157,Inspection,2024-01-10 00:00:00
MAINT00058,NODE0002,TECH0119,Repair,2024-03-17 00:00:00
MAINT00059,NODE0198,TECH0024,Upgrade,2023-10-26 00:00:00
MAINT00060,NODE0107,TECH0108,Calibration,2023-11-06 00:00:00
MAINT00061,NODE0016,TECH0106,Inspection,2024-03-28 00:00:00
MAINT00062,NODE0093,TECH0105,Repair,2023-10-25 00:00:00
MAINT00063,NODE0178,TECH0156,Upgrade,2023-11-19 00:00:00
MAINT00064,NODE0167,TECH0116,Calibration,2024-03-06 00:00:00
MAINT00065,NODE0170,TECH0192,Inspection,2023-11-03 00:00:00
MAINT00066,NODE0166,TECH0024,Repair,2023-11-01 00:00:00
MAINT00067,NODE0099,TECH0028,Upgrade,2023-10-04 00:00:00
MAINT00068,NODE0022,TECH0102,Calibration,2024-02-27 00:00:00
MAINT00069,NODE0048,TECH0101,Inspection,2023-11-01 00:00:00
MAINT00070,NODE0197,TECH0087,Repair,2024-03-27 00:00:00
MAINT00071,NODE0004,TECH0030,Upgrade,2024-01-04 00:00:00
MAINT00072,NODE0033,TECH0021,Calibration,2024-03-02 00:00:00
MAINT00073,NODE0102,TECH0034,Inspection,2024-03-26 00:00:00
MAINT00074,NODE0112,TECH0051,Repair,2024-02-08 00:00:00
MAINT00075,NODE0191,TECH0026,Upgrade,2024-03-02 00:00:00
MAINT00076,NODE0086,TECH0036,Calibration,2024-01-12 00:00:00
MAINT00077,NODE0181,TECH0191,Inspection,2023-11-05 00:00:00
MAINT00078,NODE0022,TECH0138,Repair,2023-11-12 00:00:00
MAINT00079,NODE0025,TECH0136,Upgrade,2023-11-28 00:00:00
MAINT00080,NODE0017,TECH0127,Calibration,2023-10-21 00:00:00
MAINT00081,NODE0026,TECH0144,Inspection,2024-03-21 00:00:00
MAINT00082,NODE0097,TECH0150,Repair,2023-10-24 00:00:00
MAINT00083,NODE0035,TECH0186,Upgrade,2023-12-22 00:00:00
MAINT00084,NODE0143,TECH0061,Calibration,2024-02-13 00:00:00
MAINT00085,NODE0138,TECH0051,Inspection,2024-01-21 00:00:00
MAINT00086,NODE0056,TECH0122,Repair,2024-01-07 00:00:00
MAINT00087,NODE0027,TECH0157,Upgrade,2024-01-28 00:00:00
MAINT00088,NODE0185,TECH0144,Calibration,2023-10-10 00:00:00
MAINT00089,NODE0149,TECH0017,Inspection,2024-01-04 00:00:00
MAINT00090,NODE0072,TECH0098,Repair,2024-01-15 00:00:00
MAINT00091,NODE0136,TECH0155,Upgrade,2024-02-27 00:00:00
MAINT00092,NODE0042,TECH0085,Calibration,2024-03-18 00:00:00
MAINT00093,NODE0004,TECH0011,Inspection,2024-02-12 00:00:00
MAINT00094,NODE0141,TECH0129,Repair,2024-03-02 00:00:00
MAINT00095,NODE0029,TECH0030,Upgrade,2024-03-06 00:00:00
MAINT00096,NODE0184,TECH0090,Calibration,2024-02-21 00:00:00
MAINT00097,NODE0085,TECH0124,Inspection,2023-12-07 00:00:00
MAINT00098,NODE0137,TECH0169,Repair,2023-10-04 00:00:00
MAINT00099,NODE0156,TECH0049,Upgrade,2024-02-22 00:00:00
MAINT00100,NODE0034,TECH0026,Calibration,2023-11-27 00:00:00
MAINT00101,NODE0096,TECH0198,Inspection,2023-12-24 00:00:00
MAINT00102,NODE0079,TECH0147,Repair,2024-01-01 00:00:00
MAINT00103,NODE0090,TECH0183,Upgrade,2024-02-22 00:00:00
MAINT00104,NODE0160,TECH0156,Calibration,2023-12-03 00:00:00
MAINT00105,NODE0103,TECH0191,Inspection,2024-02-14 00:00:00
MAINT00106,NODE0076,TECH0136,Repair,2023-12-17 00:00:00
MAINT00107,NODE0088,TECH0124,Upgrade,2024-01-13 00:00:00
MAINT00108,NODE0160,TECH0134,Calibration,2023-12-14 00:00:00
MAINT00109,NODE0008,TECH0189,Inspection,2024-03-30 00:00:00
MAINT00110,NODE0094,TECH0014,Repair,2024-03-14 00:00:00
MAINT00111,NODE0040,TECH0100,Upgrade,2024-03-08 00:00:00
MAINT00112,NODE0104,TECH0018,Calibration,2024-02-15 00:00:00
MAINT00113,NODE0176,TECH0009,Inspection,2023-11-22 00:00:00
MAINT00114,NODE0095,TECH0191,Repair,2024-01-05 00:00:00
MAINT00115,NODE0005,TECH0020,Upgrade,2023-10-24 00:00:00
MAINT00116,NODE0070,TECH0035,Calibration,2024-03-30 00:00:00
MAINT00117,NODE0184,TECH0101,Inspection,2023-10-10 00:00:00
MAINT00118,NODE0057,TECH0028,Repair,2023-11-10 00:00:00
MAINT00119,NODE0182,TECH0084,Upgrade,2023-10-18 00:00:00
MAINT00120,NODE0089,TECH0146,Calibration,2023-10-26 00:00:00
MAINT00121,NODE0164,TECH0003,Inspection,2024-01-05 00:00:00
MAINT00122,NODE0006,TECH0030,Repair,2024-03-12 00:00:00
MAINT00123,NODE0073,TECH0015,Upgrade,2024-01-04 00:00:00
MAINT00124,NODE0165,TECH0104,Calibration,2024-01-22 00:00:00
MAINT00125,NODE0196,TECH0181,Inspection,2024-02-03 00:00:00
MAINT00126,NODE0148,TECH0014,Repair,2024-03-16 00:00:00
MAINT00127,NODE0115,TECH0090,Upgrade,2023-12-31 00:00:00
MAINT00128,NODE0198,TECH0022,Calibration,2024-01-21 00:00:00
MAINT00129,NODE0097,TECH0195,Inspection,2024-02-16 00:00:00
MAINT00130,NODE0103,TECH0056,Repair,2023-10-24 00:00:00
MAINT00131,NODE0081,TECH0006,Upgrade,2024-02-17 00:00:00
