ClaimId,CustomerId,PolicyId,ClaimType,ClaimDate,Details
CLID-001,CID-001,PID-001,Home,2020-05-23,"There was damage to the roof after a severe storm, requiring urgent repairs."
CLID-002,CID-001,PID-001,Home,2020-08-27,A tree fell on the customer's house during a storm causing substantial damage.
CLID-003,CID-001,PID-001,Home,2020-06-04,The home experienced significant water damage due to a burst pipe.
CLID-004,CID-001,PID-002,Auto,2023-12-04,There was a car accident in a parking lot involving multiple vehicles.
CLID-005,CID-001,PID-002,Auto,2023-07-18,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-006,CID-001,PID-002,Auto,2023-04-01,The claim was filed due to a car accident that caused minor damage.
CLID-007,CID-001,PID-002,Auto,2023-07-15,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-008,CID-001,PID-003,Auto,2020-12-23,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-009,CID-001,PID-003,Auto,2021-09-27,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-010,CID-001,PID-003,Auto,2021-06-09,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-011,CID-001,PID-003,Auto,2021-03-26,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-012,CID-001,PID-004,Home,2022-02-26,"Home was vandalized, leading to claims for broken windows and theft."
CLID-013,CID-001,PID-004,Home,2022-04-25,The home experienced significant water damage due to a burst pipe.
CLID-014,CID-002,PID-005,Boat,2024-06-13,The customer reported theft of their boating equipment while docked.
CLID-015,CID-002,PID-005,Boat,2023-10-31,Claim submitted for boat damage after an accident at the marina.
CLID-016,CID-002,PID-005,Boat,2023-11-14,Customer's boat sank during a storm due to high waves and heavy rain.
CLID-017,CID-002,PID-006,Boat,2024-11-10,Claim submitted for boat damage after an accident at the marina.
CLID-018,CID-002,PID-006,Boat,2025-05-31,Claim submitted for boat damage after an accident at the marina.
CLID-019,CID-002,PID-007,Auto,2023-07-15,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-020,CID-002,PID-007,Auto,2023-04-01,Car damage occurred from an uninsured motorist running a red light.
CLID-021,CID-002,PID-007,Auto,2023-09-08,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-022,CID-002,PID-008,Auto,2024-03-05,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-023,CID-002,PID-008,Auto,2024-03-13,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-024,CID-002,PID-008,Auto,2024-04-26,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-025,CID-002,PID-008,Auto,2023-08-07,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-026,CID-003,PID-009,Auto,2022-02-17,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-027,CID-003,PID-010,Auto,2023-03-18,There was a car accident in a parking lot involving multiple vehicles.
CLID-028,CID-003,PID-010,Auto,2023-06-17,The customer reported a hit-and-run incident that damaged their vehicle.
CLID-029,CID-003,PID-010,Auto,2023-05-26,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-030,CID-003,PID-010,Auto,2023-10-22,The customer's vehicle was hit while parked and sustained considerable damage.
CLID-031,CID-004,PID-011,Boat,2023-06-11,Claim submitted for boat damage after an accident at the marina.
CLID-032,CID-004,PID-011,Boat,2023-02-17,The customer reported theft of their boating equipment while docked.
CLID-033,CID-005,PID-012,Travel,2020-08-08,The trip was interrupted due to missed connections and claims have been initiated.
CLID-034,CID-005,PID-012,Travel,2021-06-10,The customer had to file a claim for lost luggage during travel.
CLID-035,CID-005,PID-012,Travel,2020-08-03,Claim filed for travel cancellation due to a medical emergency.
CLID-036,CID-005,PID-013,Boat,2023-04-09,The customer reported theft of their boating equipment while docked.
CLID-037,CID-005,PID-014,Auto,2025-06-25,Car damage occurred from an uninsured motorist running a red light.
CLID-038,CID-005,PID-014,Auto,2025-02-22,Car damage occurred from an uninsured motorist running a red light.
CLID-039,CID-005,PID-014,Auto,2025-07-07,There was a car accident in a parking lot involving multiple vehicles.
CLID-040,CID-005,PID-015,Travel,2021-10-27,The customer had to file a claim for lost luggage during travel.
CLID-041,CID-005,PID-015,Travel,2021-07-31,Travel issues due to missed connections and lost luggage during the trip.
CLID-042,CID-005,PID-015,Travel,2020-11-17,"A flight was canceled, leading to additional unexpected expenses for the traveler."
